ID,Unnamed: 0,V,e_V,V-R,e_V-R,V-I,e_V-I,abs(V),abs(V-I),abs(V-R),abs(R-I),dif_VI,dif_VR
5220697,724,17.366,0.043,0.774,0.053,1.611,0.058,8.727937431123282,1.803696,0.8677439999999998,0.9359520000000005,0.43167507190501553,0.3792914325449228
5220779,725,15.468,0.008,0.665,0.011,1.416,0.012,6.829937431123282,1.608696,0.7587439999999999,0.849952,1.558251850005572,1.2741392696130553
5220562,727,16.884,0.029,0.86,0.035,1.722,0.037,8.245937431123282,1.914696,0.953744,0.960952,1.3340032868947258,1.6230988636937127
5220481,730,15.002,0.007,0.602,0.009,1.309,0.01,6.363937431123283,1.501696,0.6957439999999999,0.8059520000000002,1.5824920814107362,1.1417327817282379
5222429,742,17.389,0.044,0.472,0.061,1.166,0.071,8.750937431123281,1.358696,0.565744,0.7929519999999999,-1.4160302712910662,-2.521606683752103
5222652,745,17.631,0.055,0.825,0.069,1.601,0.076,8.992937431123282,1.793696,0.918744,0.874952,0.12814820679770556,0.5692771757482902
5222676,746,14.589,0.004,0.594,0.006,1.159,0.007,5.9509374311232826,1.3516960000000002,0.6877439999999999,0.6639520000000003,1.3534024399124611,1.4777903278275026
5222192,751,14.457,0.004,0.622,0.006,1.323,0.006,5.818937431123283,1.515696,0.7157439999999999,0.799952,2.186053043886936,1.878152927748336
5221592,752,16.799,0.026,2.684,0.026,4.599,0.026,8.160937431123282,4.791696,2.777744,2.013952,8.768166347411045,10.270831742135167
5221719,753,16.629,0.022,0.877,0.026,1.742,0.028,7.9909374311232835,1.934696,0.970744,0.963952,1.6633265209516352,2.0255152237232004
5221849,757,17.485,0.045,0.61,0.064,1.421,0.068,8.846937431123282,1.6136960000000002,0.7037439999999999,0.9099520000000004,-0.43842989085599093,-1.2645383921915458
5221956,759,16.832,0.025,0.927,0.03,1.878,0.031,8.193937431123283,2.070696,1.020744,1.049952,1.9545444874794278,2.2499170077165367
5211662,768,12.474,0.001,0.446,0.002,0.997,0.002,3.8359374311232814,1.189696,0.539744,0.6499520000000001,2.7441149233576576,2.131592068010324
5213167,780,11.293,0.001,0.514,0.001,0.994,0.001,2.6549374311232814,1.1866960000000002,0.6077440000000001,0.5789520000000001,3.9113933564800467,3.992753741540459
5214308,781,16.845,0.024,1.144,0.027,2.183,0.028,8.206937431123281,2.375696,1.237744,1.1379519999999996,2.9817643610535605,3.9816825542798018
5214155,784,17.425,0.041,0.895,0.05,1.756,0.051,8.786937431123283,1.948696,0.9887439999999998,0.9599520000000004,0.9190993824999367,1.3844458265373571
5214026,786,16.932,0.026,0.891,0.031,1.862,0.032,8.29393743112328,2.054696,0.9847439999999998,1.069952,1.7974010758445598,1.8431200286407332
5215786,803,17.524,0.051,0.952,0.06,1.848,0.064,8.885937431123283,2.040696,1.0457439999999998,0.9949520000000004,1.1551838362533786,1.7681262348991815
5215463,811,17.496,0.046,0.718,0.061,1.577,0.063,8.85793743112328,1.769696,0.8117439999999998,0.957952,0.1702337718764877,-0.26092407830666353
5215654,815,17.288,0.036,0.871,0.045,1.653,0.049,8.649937431123282,1.845696,0.9647439999999998,0.8809520000000002,0.6702909453312316,1.3146068397280324
5215928,817,16.862,0.027,0.665,0.034,1.329,0.042,8.22393743112328,1.5216960000000002,0.7587439999999999,0.7629520000000003,-0.1939199656306272,-0.119860730386943
5215801,820,15.57,0.008,0.818,0.011,1.68,0.011,6.931937431123282,1.872696,0.911744,0.9609520000000004,2.4905294829246483,2.568380476285391
5215791,823,15.216,0.007,0.88,0.009,1.779,0.009,6.577937431123281,1.971696,0.973744,0.997952,3.212703906808146,3.4644198387847602
5221501,828,16.313,0.019,0.812,0.024,1.676,0.025,7.674937431123281,1.868696,0.905744,0.962952,1.7324328683740777,1.7721856852193056
5220584,840,14.26,0.003,0.55,0.005,1.199,0.005,5.621937431123282,1.3916960000000005,0.6437440000000001,0.7479520000000002,1.8562709357410458,1.379816160285337
5220878,844,17.306,0.036,0.887,0.045,1.686,0.048,8.667937431123283,1.878696,0.9807439999999998,0.8979520000000001,0.7771419909324351,1.434735179961793
5221867,854,17.296,0.037,0.855,0.046,1.782,0.048,8.657937431123282,1.974696,0.9487439999999998,1.0259520000000002,1.143698090266513,1.167539936197695
5222694,857,17.39,0.039,0.704,0.054,1.487,0.058,8.751937431123283,1.679696,0.797744,0.8819520000000001,-0.07790919592811818,-0.28419129311027014
5222555,859,17.422,0.044,0.786,0.056,1.503,0.064,8.783937431123283,1.695696,0.8797439999999999,0.8159520000000002,-0.046285939712875646,0.4311831007707134
5222865,862,17.373,0.039,0.795,0.05,1.714,0.055,8.734937431123283,1.906696,0.888744,1.017952,0.8151543290397623,0.5607653095150038
5221864,864,12.853,0.002,0.457,0.003,0.957,0.003,4.214937431123282,1.149696,0.5507439999999999,0.5989520000000002,2.181224090261699,1.8636150476056832
5222829,868,17.249,0.035,0.751,0.044,1.645,0.049,8.610937431123281,1.837696,0.8447439999999999,0.992952,0.6788459882573026,0.28807285232403324
5222300,869,15.737,0.01,0.683,0.014,1.449,0.015,7.098937431123282,1.6416960000000005,0.7767440000000001,0.8649520000000002,1.4228222924665754,1.1736364879570118
5222884,870,15.302,0.007,0.556,0.01,1.188,0.011,6.663937431123282,1.380696,0.6497440000000001,0.730952,0.7666505394150915,0.39641551858115864
5221501,872,16.313,0.019,0.812,0.024,1.676,0.025,7.674937431123281,1.868696,0.905744,0.962952,1.7324328683740777,1.7721856852193056
5212572,891,17.562,0.042,1.01,0.051,1.954,0.054,8.923937431123283,2.146696,1.103744,1.042952,1.4924000274012243,2.2087166635525257
5212417,897,17.465,0.041,0.967,0.049,2.013,0.05,8.826937431123282,2.205696,1.060744,1.1449519999999995,1.7933204542653431,1.9521234535105343
5214428,900,15.602,0.008,1.127,0.01,2.259,0.01,6.9639374311232825,2.451696,1.220744,1.2309519999999996,4.469960464784146,5.094633111977046
